FeedbackID,ProductID,CustomerID,FeedbackScore,FeedbackDate
1,1,1,4.5,2023-05-13
2,2,2,3.8,2023-06-04
3,3,3,4.2,2023-07-04
3,4,4,4.05,2023-10-20
5,5,5,4.0,2023-09-04
6,6,6,4.1,2023-10-04
7,7,7,3.7,2023-11-04
8,8,8,4.05,2023-12-04
8,9,9,3.9,2023-04-13
10,10,10,4.5,2023-04-14
11,11,11,4.2,
12,12,12,3.8,2023-04-16
13,13,13,4.0,2023-04-17
14,14,14,4.4,2023-04-18
15,15,15,4.2,2023-04-19
16,16,16,4.1,2023-04-20
17,17,17,4.3,2023-04-21
18,18,18,3.9,2023-04-22
19,19,19,4.5,2023-04-23
20,20,20,4.0,2023-04-24
21,21,21,3.8,2023-04-25
22,22,22,4.2,2023-04-26
23,23,23,3.7,2023-04-27
24,24,24,4.3,2023-04-28
25,25,25,4.4,2023-04-29
26,26,26,4.0,2023-04-30
27,27,27,3.9,2023-01-05
28,28,28,4.1,2023-02-05
29,29,29,3.5,2023-03-05
30,30,30,4.2,2023-04-05
31,31,31,4.4,2023-05-05
32,32,32,3.8,2023-06-05
33,33,33,4.0,2023-07-05
34,34,34,3.7,2023-08-05
35,35,35,4.2,2023-09-05
36,36,36,3.9,2023-10-05
37,37,37,4.3,2023-11-05
38,38,38,4.1,2023-12-05
39,39,39,3.5,2023-05-13
40,40,40,4.2,2023-05-14
41,41,41,4.4,2023-05-15
42,42,42,3.8,2023-05-16
43,43,43,4.0,2023-05-17
44,44,44,3.7,2023-05-18
45,45,45,4.2,2023-05-19
46,46,46,3.9,2023-05-20
47,47,47,4.3,2023-05-21
48,48,48,4.1,2023-05-22
49,49,49,3.5,2023-05-23
50,50,50,4.2,2023-05-24
51,51,51,4.4,2023-05-25
52,52,52,3.8,2023-05-26
